Date;Exports;Imports
2001/01;231700220;586529635
2001/02;299818574;421893617
2001/03;360609403;631504731
2001/04;319489901;625809436
2001/05;324337540;574426760
2001/06;325334184;523825529
2001/07;314095036;575702983
2001/08;309756477;611670543
2001/09;295752620;578317281
2001/10;326191536;656717753
2001/11;311064453;658524665
2001/12;345573158;581753569
2002/01;290906074;601932578
2002/02;308218502;545360481
2002/03;415827234;620745916
2002/04;394516931;690924341
2002/05;409509138;623379962
2002/06;422010365;554684283
2002/07;457422933;637078580
2002/08;429993628;629749482
2002/09;413389577;661492132
2002/10;480402458;752193057
2002/11;456305222;721642458
2002/12;501293519;688609293
2003/01;370791169;724027450
2003/02;513778668;548141407
2003/03;566195874;727765671
2003/04;550653492;759688079
2003/05;529159657;682534608
2003/06;526314122;680504318
2003/07;587661326;749086878
2003/08;568296346;700255753
2003/09;588905743;802810284
2003/10;615004402;828974615
2003/11;551864003;747969529
2003/12;666856732;779380046
2004/01;496214876;794064392
2004/02;589838127;576528703
2004/03;695544115;914369425
2004/04;654581539;858214750
2004/05;642851604;763106543
2004/06;717026538;831212488
2004/07;717037216;843029655
2004/08;643355485;850008581
2004/09;704387283;943607061
2004/10;737777699;906846692
2004/11;671502288;999717697
2004/12;724116401;918257437
2005/01;562141297;939139153
2005/02;576264181;761032290
2005/03;735533169;1018398253
2005/04;680108719;1012547012
2005/05;642553230;909231265
2005/06;733059214;971005800
2005/07;764502733;948571300
2005/08;757336412;1045446701
2005/09;804739577;1056875473
2005/10;830801374;1050912801
2005/11;835430328;1151857847
2005/12;914382793;1110431076
2006/01;592202565;1150852864
2006/02;810086918;823895144
2006/03;972980316;1258664998
2006/04;826876385;1195129294
2006/05;830872078;1046866508
2006/06;920159043;1052902675
2006/07;913829857;1074830507
2006/08;908939008;1172220233
2006/09;962601790;1219289950
2006/10;982744516;1256149135
2006/11;997973652;1293127470
2006/12;1074429939;1240441660
2007/01;892537474;1262960592
2007/02;883445788;1194058879
2007/03;1119913226;1108988216
2007/04;965336601;1300153678
2007/05;1034505247;1248837707
2007/06;1128747165;1214373528
2007/07;1101661204;1289279798
2007/08;1124526804;1273379828
2007/09;1120643076;1197483581
2007/10;1171037887;1350428983
2007/11;1133538576;1333728983
2007/12;1163104734;1261794532
2008/01;932403953;1283317414
2008/02;1014090746;1014926605
2008/03;1154844227;1217083373
2008/04;1098405041;1268523081
2008/05;1159382903;1199928333
2008/06;1183129593;1218056464
2008/07;1282595512;1356829533
2008/08;1221546055;1214451341
2008/09;1138605296;1389707434
2008/10;1159586892;1388833276
2008/11;855447329;1173657483
2008/12;749851569;1105091608
2009/01;510945957;1075860167
2009/02;611171757;600618736
2009/03;789429880;966205320
2009/04;813189397;993259556
2009/05;815032122;816911854
2009/06;902563558;899897098
2009/07;942926543;997794179
2009/08;884266676;931512087
2009/09;980725823;1049505512
2009/10;993052444;1020455631
2009/11;922047009;1042951439
2009/12;1070244494;1041012621
2010/01;919734676;1052073337
2010/02;901770898;928808326
2010/03;1164582184;1020475155
2010/04;1149389807;1172731939
2010/05;1020865690;1081333362
2010/06;1101300219;1148477376
2010/07;1156585104;1141991937
2010/08;1047607734;1118729540
2010/09;1081159313;1187483029
2010/10;1167127327;1121248534
2010/11;1090319458;1245346111
2010/12;1285122389;1194261552
2011/01;928647909;1236455429
2011/02;1163770805;920781535
2011/03;1207510958;1277182475
2011/04;1071436925;1180958305
2011/05;937705435;1153843819
2011/06;1113551158;1214098935
2011/07;1144787694;1219388391
2011/08;1072505242;1303101201
2011/09;1110371402;1236152339
2011/10;1071868281;1307567671
2011/11;1003873907;1328547789
2011/12;1076130042;1263867565
2012/01;741015887;1330721700
2012/02;1000666311;917978552
2012/03;1136467240;1328692185
2012/04;994988052;1271213880
2012/05;966207977;1271100102
2012/06;1031407200;1160812774
2012/07;1008548797;1260670520
2012/08;966044098;1209753559
2012/09;953396629;1285588530
2012/10;946630822;1356281612
2012/11;858674971;1407255626
2012/12;905095917;1238718211
2013/01;762540726;1422094832
2013/02;841735797;1121198128
2013/03;1108417700;1344311901
2013/04;997791626;1443337120
2013/05;1045950775;1457935356
2013/06;1080129232;1328372202
2013/07;1103867724;1492398808
2013/08;1118534756;1424805841
2013/09;1061516700;1684886064
2013/10;1147229540;1657000948
2013/11;1141582072;1682354824
2013/12;1215942468;1601296134
2014/01;862261487;1909897414
2014/02;1074383866;1188950392
2014/03;1155929987;1710796333
2014/04;1094732894;1558506455
2014/05;1049310242;1421125371
2014/06;1095707040;1470332432
2014/07;1132405527;1456253452
2014/08;1115629875;1351848789
2014/09;1154102949;1827050962
2014/10;1229272263;1819348115
2014/11;1151134699;1749755262
2014/12;1266616581;1712585124
2015/01;1041648955;1781556673
2015/02;888754382;1661407377
2015/03;1200858897;1379664834
2015/04;1120832317;1598729533
2015/05;1059500564;1443775923
2015/06;1159911135;1573658067
2015/07;1179397625;1654068003
2015/08;1063067461;1551202379
2015/09;1111035501;1846678594
2015/10;1184291494;1725717362
2015/11;1056943277;1651046166
2015/12;1157108706;1561306645
2016/01;860043395;1675492271
2016/02;933727420;1317377065
2016/03;1116062660;1468437422
2016/04;1034940016;1331421296
2016/05;901965938;1303865049
2016/06;1043819464;1379964381
2016/07;1029722002;1297286501
2016/08;969092569;1313923338
2016/09;992991687;1540643224
2016/10;1074827124;1417484686
2016/11;1103152691;1488562581
2016/12;1301076770;1484529781
2017/01;886886609;1798164564
2017/02;1196581343;1081475195
2017/03;1299256611;1621085320
2017/04;1187521347;1431566816
2017/05;1116860627;1429572729
2017/06;1247845801;1461632136
2017/07;1211024996;1469027191
2017/08;1218815778;1460359482
2017/09;1284043470;1567459109
2017/10;1353911511;1620934164
2017/11;1379511485;1812130369
2017/12;1507446408;1705851732
2018/01;1159935313;1739159504
2018/02;1079806953;1509497840
2018/03;1439563451;1349970167
2018/04;1316354888;1464423233
2018/05;1272400478;1554143133
2018/06;1385923346;1454580700
2018/07;1355263786;1568540294
2018/08;1364604507;1548800989
2018/09;1262181321;1635003126
2018/10;1475544344;1883375918
2018/11;1384321651;1888392947
2018/12;1401840410;1597764700
2019/01;958052245;1840194452
2019/02;1140243612;1272570788
2019/03;1304677461;1499276086
2019/04;1233015895;1552668290
2019/05;1148352255;1542668514
2019/06;1246155656;1378763713
2019/07;1228724965;1614060114
2019/08;1200122103;1419140444
2019/09;1177016428;1620742736
2019/10;1322479680;1593893769
2019/11;1310094421;1578414093
2019/12;1413010663;1541338119