"Country","Date",Exports,Imports
"China, peoples' republic of","2001.01",1239083,999763
"China, peoples' republic of","2001.02",1513733,874455
"China, peoples' republic of","2001.03",1607051,1141029
"China, peoples' republic of","2001.04",1540005,1040240
"China, peoples' republic of","2001.05",1600296,1102179
"China, peoples' republic of","2001.06",1647397,1114709
"China, peoples' republic of","2001.07",1532212,1093696
"China, peoples' republic of","2001.08",1488934,1149851
"China, peoples' republic of","2001.09",1515586,1166456
"China, peoples' republic of","2001.10",1485592,1215553
"China, peoples' republic of","2001.11",1517839,1244395
"China, peoples' republic of","2001.12",1502461,1160349
"China, peoples' republic of","2002.01",1471487,1230280
"China, peoples' republic of","2002.02",1314887,1073030
"China, peoples' republic of","2002.03",1776787,1303922
"China, peoples' republic of","2002.04",1857225,1452718
"China, peoples' republic of","2002.05",1941925,1411442
"China, peoples' republic of","2002.06",1838410,1280590
"China, peoples' republic of","2002.07",2010717,1433387
"China, peoples' republic of","2002.08",2034950,1544185
"China, peoples' republic of","2002.09",2107709,1554937
"China, peoples' republic of","2002.10",2472828,1728791
"China, peoples' republic of","2002.11",2396005,1727207
"China, peoples' republic of","2002.12",2530656,1659290
"China, peoples' republic of","2003.01",2289755,1666811
"China, peoples' republic of","2003.02",2379307,1397215
"China, peoples' republic of","2003.03",2659293,1774908
"China, peoples' republic of","2003.04",2560138,1827758
"China, peoples' republic of","2003.05",2475021,1702514
"China, peoples' republic of","2003.06",2609511,1662344
"China, peoples' republic of","2003.07",2964910,1866545
"China, peoples' republic of","2003.08",3078357,1760108
"China, peoples' republic of","2003.09",3274211,1894108
"China, peoples' republic of","2003.10",3540626,2144512
"China, peoples' republic of","2003.11",3448460,2001083
"China, peoples' republic of","2003.12",3830128,2211222
"China, peoples' republic of","2004.01",3320939,2058887
"China, peoples' republic of","2004.02",3686546,1812533
"China, peoples' republic of","2004.03",4030541,2353104
"China, peoples' republic of","2004.04",4097865,2438358
"China, peoples' republic of","2004.05",4296987,2426657
"China, peoples' republic of","2004.06",4113747,2369426
"China, peoples' republic of","2004.07",4479870,2416075
"China, peoples' republic of","2004.08",4101366,2475827
"China, peoples' republic of","2004.09",4167502,2475898
"China, peoples' republic of","2004.10",4554438,2878408
"China, peoples' republic of","2004.11",4470634,2949768
"China, peoples' republic of","2004.12",4442741,2929934
"China, peoples' republic of","2005.01",4478630,3050960
"China, peoples' republic of","2005.02",4067752,2424721
"China, peoples' republic of","2005.03",5100933,3318878
"China, peoples' republic of","2005.04",4934865,3367807
"China, peoples' republic of","2005.05",5084554,3417804
"China, peoples' republic of","2005.06",5431810,3238887
"China, peoples' republic of","2005.07",5341838,3095095
"China, peoples' republic of","2005.08",5423375,3212406
"China, peoples' republic of","2005.09",5540812,3189359
"China, peoples' republic of","2005.10",5493539,3350890
"China, peoples' republic of","2005.11",5532306,3592994
"China, peoples' republic of","2005.12",5484571,3388441
"China, peoples' republic of","2006.01",4800573,3479305
"China, peoples' republic of","2006.02",4837639,3084691
"China, peoples' republic of","2006.03",5725008,4071534
"China, peoples' republic of","2006.04",5428865,3823924
"China, peoples' republic of","2006.05",5768059,3965956
"China, peoples' republic of","2006.06",5982892,3976046
"China, peoples' republic of","2006.07",5644308,3770480
"China, peoples' republic of","2006.08",6221786,4212984
"China, peoples' republic of","2006.09",6363845,4682673
"China, peoples' republic of","2006.10",6058696,4340109
"China, peoples' republic of","2006.11",6443254,4705845
"China, peoples' republic of","2006.12",6184256,4443129
"China, peoples' republic of","2007.01",6401708,4890704
"China, peoples' republic of","2007.02",5482360,4388189
"China, peoples' republic of","2007.03",6382984,4817523
"China, peoples' republic of","2007.04",6518526,5447491
"China, peoples' republic of","2007.05",6587389,5285958
"China, peoples' republic of","2007.06",6548213,5112763
"China, peoples' republic of","2007.07",6889671,5168092
"China, peoples' republic of","2007.08",7158118,5220313
"China, peoples' republic of","2007.09",7034111,5010559
"China, peoples' republic of","2007.10",7740782,5940532
"China, peoples' republic of","2007.11",7942034,6073035
"China, peoples' republic of","2007.12",7299287,5672642
"China, peoples' republic of","2008.01",7269037,6342943
"China, peoples' republic of","2008.02",6438015,5101205
"China, peoples' republic of","2008.03",8338492,6539856
"China, peoples' republic of","2008.04",8647031,7140264
"China, peoples' republic of","2008.05",8914537,6937567
"China, peoples' republic of","2008.06",8713123,6843921
"China, peoples' republic of","2008.07",8961207,7446861
"China, peoples' republic of","2008.08",8538672,7165923
"China, peoples' republic of","2008.09",8090176,7374983
"China, peoples' republic of","2008.10",7467633,6436912
"China, peoples' republic of","2008.11",5296229,5207918
"China, peoples' republic of","2008.12",4714746,4391919
"China, peoples' republic of","2009.01",4465852,4123664
"China, peoples' republic of","2009.02",5560923,3528984
"China, peoples' republic of","2009.03",6474498,4593493
"China, peoples' republic of","2009.04",6986960,4341984
"China, peoples' republic of","2009.05",6635667,4016416
"China, peoples' republic of","2009.06",7310084,4410146
"China, peoples' republic of","2009.07",7804229,4540035
"China, peoples' republic of","2009.08",7656800,4480648
"China, peoples' republic of","2009.09",8363325,5092463
"China, peoples' republic of","2009.10",8178383,4802771
"China, peoples' republic of","2009.11",8162746,5006994
"China, peoples' republic of","2009.12",9103779,5308459
"China, peoples' republic of","2010.01",8845995,4957174
"China, peoples' republic of","2010.02",7954961,4659307
"China, peoples' republic of","2010.03",9761156,5802133
"China, peoples' republic of","2010.04",9911317,6263521
"China, peoples' republic of","2010.05",9605689,6038185
"China, peoples' republic of","2010.06",9550811,6015806
"China, peoples' republic of","2010.07",9878814,6035353
"China, peoples' republic of","2010.08",9612204,5830150
"China, peoples' republic of","2010.09",9714202,5866008
"China, peoples' republic of","2010.10",10348324,6569309
"China, peoples' republic of","2010.11",10586575,6999303
"China, peoples' republic of","2010.12",11067787,6537353
"China, peoples' republic of","2011.01",10029211,7070041
"China, peoples' republic of","2011.02",9577542,5308448
"China, peoples' republic of","2011.03",11518731,7892767
"China, peoples' republic of","2011.04",10807466,7634945
"China, peoples' republic of","2011.05",11294812,7775044
"China, peoples' republic of","2011.06",11126425,7473500
"China, peoples' republic of","2011.07",11829363,7103827
"China, peoples' republic of","2011.08",11615644,7553299
"China, peoples' republic of","2011.09",11664544,7266649
"China, peoples' republic of","2011.10",11842269,7013690
"China, peoples' republic of","2011.11",11194390,7491389
"China, peoples' republic of","2011.12",11684612,6848639
"China, peoples' republic of","2012.01",9793924,6834749
"China, peoples' republic of","2012.02",10500481,6109234
"China, peoples' republic of","2012.03",11043090,7091192
"China, peoples' republic of","2012.04",10463536,6916436
"China, peoples' republic of","2012.05",10716030,7091267
"China, peoples' republic of","2012.06",10828778,6450084
"China, peoples' republic of","2012.07",11247341,6643524
"China, peoples' republic of","2012.08",11061861,6542001
"China, peoples' republic of","2012.09",11783076,6677077
"China, peoples' republic of","2012.10",12461126,7094929
"China, peoples' republic of","2012.11",12429057,6914175
"China, peoples' republic of","2012.12",11994264,6419925
"China, peoples' republic of","2013.01",11425208,7321009
"China, peoples' republic of","2013.02",10387586,5519951
"China, peoples' republic of","2013.03",11685543,6927548
"China, peoples' republic of","2013.04",12136961,7498963
"China, peoples' republic of","2013.05",12481015,7288539
"China, peoples' republic of","2013.06",11398722,6461543
"China, peoples' republic of","2013.07",12882114,7105992
"China, peoples' republic of","2013.08",12474089,6549765
"China, peoples' republic of","2013.09",11939788,6617378
"China, peoples' republic of","2013.10",13152510,7442949
"China, peoples' republic of","2013.11",12920193,7246755
"China, peoples' republic of","2013.12",12985768,7072484
"China, peoples' republic of","2014.01",11482348,7470240
"China, peoples' republic of","2014.02",10757677,5789784
"China, peoples' republic of","2014.03",12186982,7605655
"China, peoples' republic of","2014.04",12410095,7910699
"China, peoples' republic of","2014.05",11305150,7523403
"China, peoples' republic of","2014.06",11278078,7550892
"China, peoples' republic of","2014.07",11960508,7423535
"China, peoples' republic of","2014.08",11984393,6772883
"China, peoples' republic of","2014.09",12700146,7630021
"China, peoples' republic of","2014.10",13586044,8116946
"China, peoples' republic of","2014.11",12471043,7685026
"China, peoples' republic of","2014.12",13165238,8603140
"China, peoples' republic of","2015.01",12083947,8143271
"China, peoples' republic of","2015.02",9927642,6980874
"China, peoples' republic of","2015.03",11868032,7226911
"China, peoples' republic of","2015.04",11765637,7648402
"China, peoples' republic of","2015.05",10927133,6993229
"China, peoples' republic of","2015.06",11348693,7398755
"China, peoples' republic of","2015.07",11180021,7626087
"China, peoples' republic of","2015.08",10883915,7159340
"China, peoples' republic of","2015.09",12045381,7584837
"China, peoples' republic of","2015.10",12493015,8388052
"China, peoples' republic of","2015.11",11610771,7856047
"China, peoples' republic of","2015.12",10989747,7244470
"China, peoples' republic of","2016.01",9480540,6895585
"China, peoples' republic of","2016.02",8641815,6028943
"China, peoples' republic of","2016.03",10420522,7299073
"China, peoples' republic of","2016.04",9613431,7100675
"China, peoples' republic of","2016.05",9928386,7058149
"China, peoples' republic of","2016.06",10182598,7215839
"China, peoples' republic of","2016.07",10133980,7006349
"China, peoples' republic of","2016.08",10304262,7376118
"China, peoples' republic of","2016.09",10953271,7233250
"China, peoples' republic of","2016.10",11088002,7708723
"China, peoples' republic of","2016.11",11632781,8105534
"China, peoples' republic of","2016.12",12053353,7951898
"China, peoples' republic of","2017.01",10754709,7962489
"China, peoples' republic of","2017.02",11118131,6600637
"China, peoples' republic of","2017.03",11655511,8825357
"China, peoples' republic of","2017.04",10589664,7913344
"China, peoples' republic of","2017.05",10652552,8091621
"China, peoples' republic of","2017.06",10675442,8351750
"China, peoples' republic of","2017.07",10791084,7769042
"China, peoples' republic of","2017.08",11912499,8116608
"China, peoples' republic of","2017.09",13540683,8443414
"China, peoples' republic of","2017.10",12580474,7932403
"China, peoples' republic of","2017.11",14000887,9253318
"China, peoples' republic of","2017.12",13848364,8600132
"China, peoples' republic of","2018.01",13381305,9156930
"China, peoples' republic of","2018.02",11522664,7598364
"China, peoples' republic of","2018.03",13576667,8412516
"China, peoples' republic of","2018.04",13034964,8720320
"China, peoples' republic of","2018.05",13851900,9279720
"China, peoples' republic of","2018.06",13814241,8713018
"China, peoples' republic of","2018.07",13721233,8869278
"China, peoples' republic of","2018.08",14401521,8525532
"China, peoples' republic of","2018.09",14590529,7889890
"China, peoples' republic of","2018.10",14767041,9963108
"China, peoples' republic of","2018.11",13558761,9852084
"China, peoples' republic of","2018.12",11904229,9507831
"China, peoples' republic of","2019.01",10836336,10338825
"China, peoples' republic of","2019.02",9532194,6583455
"China, peoples' republic of","2019.03",11442781,8804782
"China, peoples' republic of","2019.04",12429813,9793054
"China, peoples' republic of","2019.05",11014513,9943419
"China, peoples' republic of","2019.06",10422956,8656551
"China, peoples' republic of","2019.07",11444067,9392846
"China, peoples' republic of","2019.08",11287793,8312968
"China, peoples' republic of","2019.09",11362386,8197068
"China, peoples' republic of","2019.10",12243754,9215893
"China, peoples' republic of","2019.11",11888955,8966004
"China, peoples' republic of","2019.12",12296986,9023873
